municipal,%_single_family,pop_2010,%nhwhi_2010,%bipoc_2010,%pop_u18,%pop_65o,%incu10,%in200o,income,%_compliant_zoning,city_size,parcel_year_built,total_value_psf,land_value_psf,floor_area_ratio,max_building_floors,max_floor_area_ratio,%_far_compliant_zoning
Holliston,0.0,4.605170185988092,-0.1392620673335076,-2.8134107167600364,-1.3093333199837622,-1.9661128563728327,-3.3037420455114423,-1.1849081021209458,4.856097621598774,94.9,20.03103322022691,1959.5073451139024,2.840320836841026,2.1840784609577204,0.0747210957049355,2.5144796380090497,0.0239819004524886,0.0126696832579185
Hopkinton,100.0,6.206575926724928,-0.3401078697916307,-3.210843653170937,-0.9862201016466028,-3.373362582668712,-3.763058852288188,-0.9657775174580352,4.96315004024269,98.181,20.407155265893,1969.6986415882968,2.967592257117856,2.017369936177929,0.1192116500844133,0.0,0.0,0.1709533607681755
Hudson,0.0,4.691347882229144,-0.0469569830877709,-3.9982007016691994,-1.7469089030627032,-1.1649873576129823,-3.92395157629342,-1.7606285506328818,4.71500089345398,98.342,19.5079368537872,1953.1470805617148,3.404268177924054,2.3337807716005683,0.2272903779326899,0.0824602906387293,0.0,0.0765461304494761
Hull,81.28142644756288,6.075346031088684,-0.0494800572633696,-3.8781214537524646,-1.8558383259125772,-1.8126661540473683,-3.054765805138184,-2.599510032527004,4.448978341988975,97.483,17.983883684174337,1932.8781362007169,4.406986691894264,3.649364416825877,0.2953693007380424,3.0519949066213923,0.0,0.0978353140916808
Ipswich,0.0,6.059123195581797,-0.0429660358834432,-5.365976015021851,-1.2799997024702674,-2.0701391490175225,-3.550366731139209,-1.873676591695942,4.414198827286467,93.414,20.60003545141593,1945.5110152168972,3.885294314952363,2.9176123447658995,0.1551592855018226,2.8677168343139114,0.0,0.1311444296830518
Lexington,0.0,6.336825731146441,-0.2546068207699948,-3.158771900798495,-1.143868880256231,-2.366533817594319,-3.418507019197247,-0.949600710755688,4.876151066716461,88.434,19.804781687294437,1958.3005307855624,4.460919788147755,3.810347389571308,0.3084524852214288,0.0,0.0,0.0621618963312678
Lincoln,97.49190363342778,6.180016653652572,-0.0796977016325085,-5.486869473092628,-1.8625285401162623,-0.907017095088826,-3.023981174942371,-1.2645746701660816,4.733486500971291,98.688,19.806957883611226,1953.825637910085,2.8194159450768823,2.2402307446194114,0.0381843723677334,2.5024038461538463,0.0,0.270541958041958
Littleton,0.0,5.247024072160486,-0.0266682470821612,-4.553876891600541,-1.221672381425337,-2.0689702418125404,-4.925181145555232,-1.2763799150087063,4.835350190175427,98.949,19.85439942431796,1967.742048438868,2.919942825944774,2.01328878203571,0.0667988422127868,3.0153637596023497,0.0,0.2126073203795752
Lynn,38.80490237827379,5.605802066295998,-0.1004705303636345,-3.996364153861897,-1.315342625147606,-1.942240420166351,-3.4104140367670794,-2.6372241485335977,4.522960554732886,87.446,19.42112418495384,1923.3589367552704,4.6769021358975,3.609244125167461,0.3858736100148985,0.0,0.0,0.0384096639887409
Lynnfield,0.0,6.311734809152915,-0.0636919346444853,-4.009149716158869,-1.2303304441684515,-1.7473866176850783,-3.898177598606093,-1.7507853950177492,4.725769331644117,98.085,19.349187990965174,1958.9495331819328,3.570593880483035,3.119008292794196,0.1176697604009109,0.0052264808362369,0.0,0.0682926829268292
Malden,0.0,7.1180162044653335,-0.6487658876695606,-1.4446929372938406,-1.604587458300351,-2.553668012997497,-4.075841090657541,-1.57440513891833,4.73743589702311,93.811,18.54351671203977,1922.4793662840336,4.847167696497592,3.935975602269016,0.4245310919591875,0.0325115144947168,0.0,0.0440711640928384
Manchester,95.41143853309288,6.660575149839686,-0.0525745245435991,-3.770203391943521,-1.473189343998931,-1.6499398557434302,-3.048715315983459,-1.2184895659276078,4.776198053779974,96.665,19.10285160332044,1937.6594538897475,4.060709279354537,3.233916459975694,0.1604821060939105,2.5,0.0,0.148036253776435
Marblehead,88.4360937594057,6.423246963533519,-0.0397403286495141,-3.784189633918261,-1.348073148299693,-1.6610730287357638,-3.0265039322207445,-1.330888323545592,4.69570428660554,97.968,18.456513110655894,1931.069328896284,4.712954678509861,4.2068219906257776,0.326874152479274,0.1030125095736533,0.0,0.0625478682665305
Marlborough,0.0,6.787844982309579,-0.2555106900872301,-2.55373847771232,-1.657946267386506,-1.975660626937162,-2.8820631047571474,-1.7905682838579018,4.647003602023344,97.694,20.11132964372806,1950.8278935185183,3.3461180115204137,2.2383666153451083,0.2680701108942561,2.359183252552336,0.0,0.0834278642879241
Marshfield,0.0,5.225746673713202,-0.0162605208717802,-4.532599493153256,-1.5621850275835547,-1.824549292051046,-5.7745515455444085,-1.497885426528353,4.855662192406821,96.139,20.403952331698903,1960.4965388986463,3.724219903604169,3.157043922295145,0.1218159364372175,2.5,0.0,0.1543236485903957
Maynard,82.09067974378667,6.306275286948016,-0.0524464753725425,-3.4730619428917997,-1.5104847413512743,-2.086767581771909,-3.585709519835929,-2.4275051339655733,4.653818889076346,95.38,18.728265546821323,1943.847350047604,3.7844531983396568,3.1454229012224078,0.1735322594481983,0.0044483985765124,0.0,0.0516014234875444
Medfield,0.0,6.561030665896573,-0.0748698769524837,-3.788441943656792,-0.9370131597092344,-3.159833284234417,-6.690842277418564,-0.9131899541959068,5.020372147983599,97.887,19.76474622937292,1964.6660341555976,3.118628667198172,2.481131283283099,0.0833396970721967,2.5129047395588926,0.3040356640075082,0.9870952604411076
Medford,53.14867724715639,6.084499413075172,-0.0707842570323696,-3.887274835738952,-1.4595265997909004,-1.850392908477912,-3.058430867769555,-1.4788459184851357,4.846649216963484,98.635,18.830659673581646,1924.664621370847,4.999091979088282,4.091144084129259,0.7281236586794654,2.6410973084886127,0.0,0.0699102829537612
Medway,0.0,6.944087208229528,-0.0719591068905414,-3.853044754871212,-1.091884728455053,-2.9928434896481,-4.237207282275508,-0.9985288301111273,4.999537438697385,95.957,19.512320514896096,1951.28452722962,3.3594483599983733,-1.9159449895344305,0.0741684227697173,0.0584250635055038,0.0,0.1168501270110076
Melrose,28.866456779084917,5.796057750765372,-0.1158851417483046,-4.186619838331271,-1.452252328911688,-2.1851398381211475,-2.6430177308313554,-2.2907971372420035,4.691083820364405,99.097,18.546710522516303,1923.478344685773,4.702820430228767,4.05796719543777,0.5141357552237107,2.652972651605232,0.1065695600475624,0.126872770511296
Middleton,23.787179561802763,6.693323668269949,-0.0482326987643048,-3.860110324213733,-1.2816776164149088,-2.311297033596067,-4.630237962717172,-1.525306397198189,4.820620701818597,88.647,19.744892009756644,1972.838402178847,3.029844117007345,2.3863446323684814,0.0617101296014839,0.0,0.0,0.1628676470588235
Milford,87.22193338210323,6.858565034791365,-0.1852670670237113,-2.2942168433235293,-1.4075265812256648,-1.8087090275418285,-4.438721978350427,-2.366249105986684,4.684798558480656,94.047,19.741878292467508,1951.6371878923144,3.4534366330910427,2.357776039631439,0.1589340820611593,3.054710500490677,0.1723503434739941,0.1140824337585868
Millis,88.90747000687679,6.107022887742255,-0.0316768566535702,-4.497584975308154,-1.3363382632765894,-2.194999882314108,-4.340803918849927,-1.7017465892346686,4.821489958844174,96.427,19.581961307777195,1963.645824763472,2.850984034725456,1.8042016089381216,0.123991647034684,2.5,0.0,0.1613116926134481
Milton,98.11171771719133,6.720220155135295,-0.0935024058862702,-2.7312361085710206,-1.510734002293874,-1.0031924537290733,-7.087573705557973,-1.3037485232282358,4.679549860357858,99.186,19.614343722736653,1936.2260324483773,4.597710039676692,3.876030489893569,0.2268487450257113,0.0009342520144809,0.0175172252715169,0.0488146677566273
Nahant,100.0,4.430816798843313,-0.0613689463762921,-2.639057329615259,-1.791759469228055,-1.9459101490553132,-3.131136910560194,-1.3393774413321389,4.583332594819866,95.824,17.091232146091514,1930.577620173365,4.896705803608905,4.2680199729774,0.312608250846777,2.5,0.0081421169504071,0.0540340488527017
Natick,92.66284606851576,6.694562058521095,-0.2425131040838694,-2.9809899918167875,-1.882377703148678,-2.079441541679836,-3.755870322930215,-1.5714254722403942,4.824330771250232,98.633,19.7469905260588,1949.944780868316,3.968789610457913,3.3222736530114223,0.0166688967235088,2.594304137560451,0.0,0.9711624574601468
Needham,85.00465651630445,6.483107351457199,-0.1269996907613074,-3.710518629217417,-1.2846103201913728,-2.0057705369789924,-3.1710851610318525,-0.6125666939006059,5.073871546827327,96.303,19.55455496621755,1959.7531169268784,4.399618048090447,3.712867228964268,0.1142564855674308,2.509523809523809,0.2445548654244305,0.7685300207039337
Newton,77.16804746863193,6.803505257608338,-0.351456303171112,-2.159114358466965,-1.594019104766917,-1.583149432530013,-2.96010509591084,-1.2174483396905167,4.795159353932147,98.258,19.83327615162965,1932.954369290394,4.918335287710989,4.286148808160688,0.5304185620377571,1.8877815340036,0.4455042367300347,0.547086973701541
Norfolk,0.0,5.7430031878094825,-0.0392207131532812,-4.133565275375382,-1.024504316514388,-3.0349529867072724,-4.331928797691105,-1.2533605185579646,4.85396283011863,98.164,19.83167454271532,1975.3056673892845,2.632597320776686,1.6952473229430374,0.0969326700081418,0.0137326706774784,0.0,0.1263405702328014
North Reading,1.1413217565997076,6.976348070447749,-0.0409776244326383,-4.268297869345538,-1.2826159316450492,-2.222757879341384,-4.453663067694484,-1.3842430783493334,4.878125648487458,94.734,19.66006564229445,1967.0538550057536,3.1969055655651784,2.646427583134784,0.0550010473543935,2.5,0.0,0.0
Norwell,0.0,6.113682179832232,-0.0406376457318262,-5.015069891164122,-1.1864284946750263,-1.9705474534406984,-6.796823718274855,-0.8487887290942094,4.932431870784644,99.496,20.117233381681054,1957.2808333333328,2.676538698928153,1.8122353853584103,0.1043612888550547,2.5,0.0,0.1395455588707826
