,municipal,%_single_family,pop_2010,%nhwhi_2010,%bipoc_2010,%pop_u18,%pop_65o,%incu10,%in200o,income,%_compliant_zoning,city_size,parcel_year_built,total_value_psf,land_value_psf,floor_area_ratio,max_building_floors,max_floor_area_ratio,%_far_compliant_zoning
19,Danvers,0.0,4.564348191467836,-0.02105340919783238,-3.871201010907891,-1.9252908618525775,-0.6523251860396901,-4.204070535389567,-1.8849561404443107,4.5642930581505965,92.103,19.56290507119763,1947.0031077835852,3.6435661353325375,3.0221635258820454,0.16460867712231686,0.0,0.0,0.04693140794223827
20,Dedham,0.0,4.787491742782046,-0.06899287148695143,-2.70805020110221,-1.529395204760564,-1.491654876777717,-4.544261432901099,-1.289667525430819,4.755139713647046,98.67,19.327894759575457,1940.5289267015708,4.1186629255187945,3.343589142805013,0.3621007639518771,0.0,1.5746656587975343,0.8485870450052332
21,Dover,100.0,4.04305126783455,-0.05406722127027582,-3.349904087274605,-1.55814461804655,-1.6451559950361796,-3.9174627287239643,-0.44324021204691894,5.100578660870448,98.118,19.86209444715112,1967.3275774504825,2.940477121660935,2.1959909732650225,0.09174141385771496,0.0,0.0,0.20326823435631725
22,Duxbury,100.0,6.363028103540465,-0.01914766941413408,-4.4171179544851515,-1.153541950699044,-2.0589630103362953,-3.054394186202577,-1.3726356121888506,4.897700232096835,93.709,20.237399015583144,1955.6089833567275,3.5069391709492215,3.0109125152288527,0.14829532528623834,0.04,0.02,0.022755555555555557
23,Essex,0.14895095314501067,6.028278520230698,-0.02934195828401532,-3.7256934272366524,-1.5174190137138484,-2.0964528875063726,-2.370978533922062,-1.2428438059876308,4.7376900377658675,45.959,19.720093989610668,1957.2997658079626,2.139163626344389,1.5390605551165024,0.024891444183769255,2.4959100204498976,0.00020449897750511248,0.5071574642126789
24,Everett,0.0,0.0,0.0,0.0,0.0,0.0,-2.5877640352277083,-3.0520696433588057,4.336798666730262,89.931,18.37249636732133,1914.5066981875493,5.016597860205109,3.8962155717317404,0.8940170322257394,0.0,0.040807107363348895,0.03734377352808312
25,Foxborough,92.78636918764013,6.54534966033442,-0.06071442469916773,-3.454307206976104,-1.4154509454113462,-2.0344901538175697,-4.32452214019369,-2.1537891783044474,4.58021911450382,95.693,20.078492906939353,1963.620368495647,3.0422470585085604,2.1855515303986373,0.17943230160029727,2.5,0.0,0.007694998251136761
26,Framingham,86.35750012364471,6.546785410760524,-0.15822400521489416,-2.833213344056216,-1.5631787890521873,-1.7184716734582226,-2.5680525407120527,-1.7426373915743567,4.621839394019365,95.375,20.21579274387962,1953.5123519032013,3.5890933393678934,2.652967277880007,,2.9993073593073594,0.025627705627705628,0.0
27,Franklin,0.0,7.1891677384203225,-0.09244635992556238,-3.7551805339351763,-1.0070828317036908,-3.1638160476851733,-6.70196036600254,-0.6956072064008076,5.0539830016054665,95.296,20.3566450387513,1969.2450842696628,3.15815476648427,2.422532588245941,0.0875296102502797,3.0,0.0,0.09865611001145953
28,Gloucester,3.344654744593455,6.75110146893676,-0.03936107388058031,-4.26619481914876,-1.639113680580217,-1.899071205017143,-3.710270644095254,-1.9552125417176267,4.67436533509175,98.662,20.357129230474122,1937.9316179415298,4.2125966517543425,3.1999554184081487,0.34729768340372763,0.03608736942070275,0.0,0.2037037037037037
29,Hamilton,0.0,5.537334267018537,-0.04839654086185021,-4.438721978350427,-1.3629469971228996,-2.359280436670591,-1.6276202315172907,-1.0206507471983979,4.771800687478536,99.057,19.784635605232644,1950.0903092783506,3.3162212349389097,2.527998848126795,0.09533372072684812,3.0,0.0,0.11659034871433603
30,Hanover,100.0,6.520621127558696,-0.02233897808226231,-4.728861658330641,-1.252762968495368,-2.189887787272365,-3.6749903419532695,-1.1729892588059687,4.88408692074296,97.733,19.820651282116273,1961.8262174013385,2.8593332113274808,1.9691516407217675,0.10662606016669922,3.0,0.0,0.08509303784235835
31,Hingham,0.0,5.831882477283517,-0.04192230638626336,-3.529297384289471,-1.3775351810300092,-1.672999393923845,-2.507886199860944,-1.4522912962765249,4.630594656379799,98.556,20.188621157582848,1940.6816686602872,4.006800942524384,3.348669623616805,0.23974392443930814,2.5120431893687707,0.0,0.003875968992248062
32,Holbrook,0.0,6.728628613084702,-0.17754827804129691,-2.164280421616865,-1.4056186339462935,-2.0557997786227955,-6.028278520230698,-2.0964528875063726,4.660666591437606,90.348,19.07121891038115,1952.6038617253191,3.259178248001436,2.5736923786090857,0.10410771040794896,2.505079658277534,0.0,0.25398291387670285
33,Holliston,0.0,4.605170185988092,-0.13926206733350766,-2.8134107167600364,-1.3093333199837622,-1.9661128563728327,-3.3037420455114423,-1.1849081021209458,4.856097621598774,94.9,20.03103322022691,1959.5073451139026,2.840320836841026,2.1840784609577204,0.07472109570493553,2.5144796380090497,0.02398190045248869,0.012669683257918552
34,Hopkinton,100.0,6.206575926724928,-0.34010786979163077,-3.2108436531709366,-0.9862201016466027,-3.3733625826687117,-3.763058852288188,-0.9657775174580351,4.96315004024269,98.181,20.407155265892996,1969.6986415882968,2.9675922571178557,2.017369936177929,0.11921165008441338,0.0,0.0,0.17095336076817558
35,Hudson,0.0,4.6913478822291435,-0.04695698308777098,-3.9982007016691985,-1.7469089030627032,-1.1649873576129823,-3.92395157629342,-1.7606285506328818,4.71500089345398,98.342,19.5079368537872,1953.1470805617148,3.404268177924054,2.3337807716005683,0.2272903779326899,0.0824602906387293,0.0,0.07654613044947617
36,Hull,81.28142644756288,6.075346031088684,-0.049480057263369695,-3.8781214537524646,-1.8558383259125775,-1.8126661540473685,-3.054765805138184,-2.599510032527004,4.448978341988975,97.483,17.983883684174337,1932.8781362007169,4.4069866918942635,3.649364416825877,0.29536930073804246,3.0519949066213923,0.0,0.09783531409168081
